movie,year,rating,genre,runtime_min,imdb,metascore,votes,director(s),stars
The Deepest Breath,2023,PG,"['Documentary', 'Adventure']",108.0,7.8,69.0,9383,Laura McGann,"['David Attenborough', 'Leigh Baker', 'Mahmoud Barracuda', 'Ilaria Bonin']"
BS High,2023,,['Documentary'],95.0,7.5,65.0,353,"['Travon Free', 'Martin Desmond Roe']",
A Life Too Short: The Isabella Nardoni Case,2023,,"['Documentary', 'Crime']",104.0,6.1,,585,"['Micael Langer', 'Cláudio Manoel']","['Hebe Camargo', 'Márcio Campos', 'Marcos Carneiro', 'Ilana Casoy']"
Take Care of Maya,2023,TV-14,['Documentary'],103.0,7.8,64.0,6250,Henry Roosevelt,
Untold: Hall of Shame,2023,TV-MA,"['Documentary', 'Crime', 'Sport']",78.0,6.4,,706,Bryan Storkel,"['John Ashcroft', 'Joe Biden', 'Matt Biondi', 'Barry Bonds']"
Untold: Johnny Football,2023,TV-MA,"['Documentary', 'Sport']",70.0,6.9,,2231,Ryan Duffy,"['Eric Bolling', 'Blake Bortles', 'Erik Burkhardt', 'Barbara Bush']"
Dear Zachary: A Letter to a Son About His Father,2008,Not Rated,"['Documentary', 'Biography', 'Crime']",95.0,8.5,82.0,39097,Kurt Kuenne,"['Kurt Kuenne', 'Andrew Bagby', 'David Bagby', 'Kathleen Bagby']"
To End All War: Oppenheimer & the Atomic Bomb,2023,,['Documentary'],87.0,7.4,,1585,Christopher Cassel,"['J. Robert Oppenheimer', 'Kai Bird', 'Ellen Bradbury', 'Alan B. Carr']"
Billion Dollar Heist,2023,,['Documentary'],84.0,7.0,,261,"['Daniel Gordon', 'Brendan Donovan', 'Bryn Evans']","['Eric Chien', 'Misha Glenny', 'Krishna Das', 'Mikko Hyppönen']"
Still: A Michael J. Fox Movie,2023,R,"['Documentary', 'Biography']",95.0,8.1,78.0,11244,Davis Guggenheim,"['Tracy Pollan', 'Sam Fox', 'Aquinnah Fox', 'Schuyler Fox']"
Bama Rush,2023,TV-MA,['Documentary'],100.0,4.1,,1721,Rachel Fleit,"['Shelby Rose', 'Isabelle Eacrett', 'Makalya Miller', ""Gracie O'Connor""]"
Poisoned: The Dirty Truth About Your Food,2023,TV-14,['Documentary'],83.0,6.7,,1612,Stephanie Soechtig,
What Is a Woman?,2022,Livre,['Documentary'],95.0,8.3,,39867,Justin Folk,"['Matt Walsh', 'Gert Comfrey', 'Marci Bowers', 'Don Sucher']"
Searching for Sugar Man,2012,PG-13,"['Documentary', 'Biography', 'Music']",86.0,8.2,79.0,71168,Malik Bendjelloul,"['Rodriguez', ""Stephen 'Sugar' Segerman"", 'Dennis Coffey', 'Mike Theodore']"
A Storm Foretold,2023,,"['Documentary', 'Biography', 'History']",90.0,7.7,,260,Christoffer Guldbrandsen,"['Christoffer Guldbrandsen', 'Roger Stone', 'Joe Biggs', 'Kristin Davis']"
Stop Making Sense,1984,PG,"['Documentary', 'Music']",88.0,8.6,89.0,16383,Jonathan Demme,"['David Byrne', 'Bernie Worrell', 'Alex Weir', 'Steven Scales']"
Jackass Forever,2022,R,"['Documentary', 'Action', 'Comedy']",96.0,6.8,74.0,48836,Jeff Tremaine,"['Johnny Knoxville', 'Steve-O', 'Chris Pontius', 'Dave England']"
Porn to Be Free,2016,Unrated,['Documentary'],78.0,6.1,,362,Carmine Amoroso,"['Lasse Braun', 'Riccardo Schicchi', 'Giampiero Mughini', 'Giuliana Gamba']"
All the Beauty and the Bloodshed,2022,Unrated,['Documentary'],122.0,7.5,90.0,6061,Laura Poitras,"['Nan Goldin', 'David Velasco', 'Megan Kapler', 'Marina Berio']"
